lon,lat,oxygen_sq4,salt_sq5,nutrient_avail_sq1,T_CLAY,T_GRAVEL,T_SAND,T_PH_H2O,AWC_CLASS
-77.115306,38.839806,1,1,3,24,10,49,4.6,1
-76.6213047,39.326212,1,1,3,24,10,49,4.6,1
-76.6180579,39.3253092,1,1,3,24,10,49,4.6,1
-76.6263905,39.324184700000004,1,1,3,24,10,49,4.6,1
-76.6194265,39.3519629,1,1,3,24,10,49,4.6,1
-76.6188471,39.3528954,1,1,3,24,10,49,4.6,1
-76.6178148,39.3496891,1,1,3,24,10,49,4.6,1
-76.6417958,39.3212027,1,1,3,24,10,49,4.6,1
-76.6415973,39.321979,1,1,3,24,10,49,4.6,1
-76.6444267,39.3204848,1,1,3,24,10,49,4.6,1
-76.6441182,39.319571,1,1,3,24,10,49,4.6,1
-76.6515768,39.2725685,1,1,3,24,10,49,4.6,1
-76.6527808,39.2731493,1,1,3,24,10,49,4.6,1
-76.6482257,39.271642,1,1,3,24,10,49,4.6,1
-76.5758902,39.332137,1,1,3,24,10,49,4.6,1
-76.5726679,39.3302272,1,1,3,24,10,49,4.6,1
-76.5708624,39.3294746,1,1,3,24,10,49,4.6,1
-76.5712121,39.3284985,1,1,3,24,10,49,4.6,1
-76.5739265,39.3328439,1,1,3,24,10,49,4.6,1
-76.5796275,39.3319241,1,1,3,24,10,49,4.6,1
-76.6944519,39.3042679,1,1,3,24,10,49,4.6,1
-76.6957974,39.3027325,1,1,3,24,10,49,4.6,1
-76.696591,39.3017521,1,1,3,24,10,49,4.6,1
-76.69476,39.3056304,1,1,3,24,10,49,4.6,1
-76.6949263,39.307208,1,1,3,24,10,49,4.6,1
-80.85421,33.49895,2,1,3,23,35,47,4.8,1
-82.2249,33.08826,2,1,3,23,35,47,4.8,1
-80.85672,33.56996,2,1,3,23,35,47,4.8,1
-81.97323,33.47755,2,1,3,24,10,49,4.6,1
-77.09718,36.43411,2,1,3,23,35,47,4.8,1
-107.8666,37.2805,1,1,1,19,10,37,6,3
-107.866667,37.280278,1,1,1,19,10,37,6,3
-108.055278,37.229167,1,1,1,19,27,47,6.4,5
-108.054767,37.229218,1,1,1,19,27,47,6.4,5
-107.872,37.274,1,1,1,19,10,37,6,3
-106.2660366,31.6781066,1,1,1,20,20,41,8.3,1
-106.50386,31.77391,1,1,1,6,18,83,6.6,3
-106.50203,31.76397,1,1,1,6,18,83,6.6,3
-106.45513,31.79024,1,1,1,20,20,41,8.3,1
-106.4577,31.78962,1,1,1,20,20,41,8.3,1
-106.40452,31.75547,1,1,1,20,20,41,8.3,1
-119.731121,36.883255,1,1,1,24,9,47,6.4,5
-119.842776,36.524636,1,2,1,25,6,47,8.1,1
-119.844327,36.522455,1,2,1,25,6,47,8.1,1
-119.845056,36.523365,1,2,1,25,6,47,8.1,1
-119.84267,36.525379,1,2,1,25,6,47,8.1,1
-119.692045,36.832175,1,1,1,24,9,47,6.4,5
-119.700831,36.848366,1,1,1,24,9,47,6.4,5
-84.3621,33.83261,1,1,3,24,10,49,4.6,1
-84.3641,33.83218,1,1,3,24,10,49,4.6,1
-84.36391,33.83221,1,1,3,24,10,49,4.6,1
-84.36409,33.83209,1,1,3,24,10,49,4.6,1
-84.351272,33.720117,1,1,3,24,10,49,4.6,1
-83.86084,33.59398,1,1,3,24,10,49,4.6,1
-74.06661,40.71637,2,1,2,20,10,41,5.1,1
-78.87576,38.08406,1,1,2,24,10,49,4.6,1
-78.87687,38.0856,1,1,2,24,10,49,4.6,1
-78.87622,38.0845,1,1,2,24,10,49,4.6,1
-78.90991,38.06631,1,1,3,24,10,49,4.6,1
-78.90738,38.06538,1,1,3,24,10,49,4.6,1
-74.080939,40.72464,2,1,2,20,10,41,5.1,1
-77.128242,39.114081,1,1,3,24,10,49,4.6,1
-77.12721,39.1158,1,1,3,24,10,49,4.6,1
-77.12852,39.11643,1,1,3,24,10,49,4.6,1
-77.126822,39.118353,1,1,3,24,10,49,4.6,1
-77.2958082,39.1924796,1,1,3,24,10,49,4.6,1
-77.2938525,39.1923697,1,1,3,24,10,49,4.6,1
-77.2909008,39.1951344,1,1,3,24,10,49,4.6,1
-77.2893639,39.195548,1,1,3,24,10,49,4.6,1
-77.2436929,39.2096095,1,1,3,24,10,49,4.6,1
-77.2439618,39.2099919,1,1,3,24,10,49,4.6,1
-77.2422723,39.2074954,1,1,3,24,10,49,4.6,1
-77.242564,39.2084737,1,1,3,24,10,49,4.6,1
-77.2053983,39.2108606,1,1,3,24,10,49,4.6,1
-77.2046218,39.2109581,1,1,3,24,10,49,4.6,1
-77.2025498,39.2019044,1,1,3,24,10,49,4.6,1
-77.201322,39.2023669,1,1,3,24,10,49,4.6,1
-77.2123519,39.2238459,1,1,3,24,10,49,4.6,1
-77.2126031,39.2238549,1,1,3,24,10,49,4.6,1
-77.1349229,39.1642713,1,1,3,24,10,49,4.6,1
-77.1327725,39.162704,1,1,3,24,10,49,4.6,1
-77.1305888,39.1637646,1,1,3,24,10,49,4.6,1
-77.128902,39.165766,1,1,3,24,10,49,4.6,1
-77.1481955,39.0351753,1,1,3,24,10,49,4.6,1
-77.1495557,39.0341792,1,1,3,24,10,49,4.6,1
-120.421913,37.365386,1,1,1,24,9,47,6.4,5
-93.35503,45.174393,1,1,1,9,10,72,5.8,3
-93.354853,45.174232,1,1,1,9,10,72,5.8,3
-93.354703,45.174059,1,1,1,9,10,72,5.8,3
-86.80898,36.16786,1,1,2,24,10,49,4.6,1
-86.80898,36.16786,1,1,2,24,10,49,4.6,1
-86.80893,36.1667,1,1,2,24,10,49,4.6,1
-86.80583,36.16632,1,1,1,24,10,49,4.6,1
-86.80754,36.16592,1,1,1,24,10,49,4.6,1
-100.755857,46.759593,1,2,1,22,17,43,8,1
-100.75502,46.75999,1,2,1,22,17,43,8,1
-100.7539972,46.7609345,1,2,1,22,17,43,8,1
-100.75618,46.763972,1,2,1,22,17,43,8,1
-100.75957,46.763836,1,2,1,22,17,43,8,1
-100.75822,46.76369,1,2,1,22,17,43,8,1
NA,NA,0,0,0,NA,NA,NA,NA,NA
NA,NA,0,0,0,NA,NA,NA,NA,NA
NA,NA,0,0,0,NA,NA,NA,NA,NA
NA,NA,0,0,0,NA,NA,NA,NA,NA
-94.952778,35.891389,1,1,3,25,23,53,5.1,1
-94.95151,35.8909,1,1,3,25,23,53,5.1,1
-77.419,37.231667,2,1,3,23,9,34,4.9,1
-77.42225,37.229556,2,1,3,23,9,34,4.9,1
-77.413611,37.235556,2,1,3,23,9,34,4.9,1
-77.4133845,37.2348699,2,1,3,23,9,34,4.9,1
-77.416639,37.235278,2,1,3,23,9,34,4.9,1
-76.72894,40.20348,1,1,1,24,9,47,6.4,1
-76.72865,40.19287,1,1,1,24,9,47,6.4,1
-76.74527,40.20507,1,1,1,24,9,47,6.4,1
-76.74357,40.19899,1,1,1,24,9,47,6.4,1
-76.7385,40.20651,1,1,1,24,9,47,6.4,1
-122.3320589,47.6275429,2,1,3,23,8,41,5.2,1
-122.3302119,47.6274891,2,1,3,23,8,41,5.2,1
-122.064,36.95241,1,1,1,23,7,39,6.4,1
-122.06125,36.998778,1,1,1,23,7,39,6.4,1
NA,NA,0,0,0,NA,NA,NA,NA,NA
NA,NA,0,0,0,NA,NA,NA,NA,NA
NA,NA,0,0,0,NA,NA,NA,NA,NA
NA,NA,0,0,0,NA,NA,NA,NA,NA
NA,NA,0,0,0,NA,NA,NA,NA,NA
NA,NA,0,0,0,NA,NA,NA,NA,NA
NA,NA,0,0,0,NA,NA,NA,NA,NA
NA,NA,0,0,0,NA,NA,NA,NA,NA
-116.4091989,33.669456,1,1,1,20,4,39,7.3,1
-116.3867086,33.7330671,1,1,1,20,4,39,7.3,1
