X,site_id,site_name,origin,city,state,partner_faculty,lat,lon,mgmt_type,google_img_id,pct_imp_2024,closest_zip,usda_plant_hardiness_2023,tree_canopy_cover_2023_science,tree_canopy_cover_2023_nlcd,CEC_landcover_2020,NLCD_landcover_2024,public_ok,AREASYMBOL,MUSYM,MUKEY,cokey,hzname,hzdept_r,hzdepb_r,sandtotal_r,silttotal_r,claytotal_r,om_r,geometry
1,A01,NOVA Alexandria,"Alexandria, VA",Alexandria,VA,Andrew Lee,38.839806,-77.115306,"Unmanaged: wild plants/weeds, forest, or grassland",1PHNCtP3JGvidkDd5bK1R91F895N_G6nM,9,22311,7b,61,68,Temperate or sub-polar broadleaf deciduous forest,"Developed, Open Space",TRUE,VA510,91C,1912981,25479343,H3,102,178,67.30000305175781,23.200000762939453,9.5,0.25,"c(1613243.65158, 1917773.86512822)"
1,A01,NOVA Alexandria,"Alexandria, VA",Alexandria,VA,Andrew Lee,38.839806,-77.115306,"Unmanaged: wild plants/weeds, forest, or grassland",1PHNCtP3JGvidkDd5bK1R91F895N_G6nM,9,22311,7b,61,68,Temperate or sub-polar broadleaf deciduous forest,"Developed, Open Space",TRUE,VA510,91C,1912981,25479343,H2,23,102,59.599998474121094,17.899999618530273,22.5,0.25,"c(1613243.65158, 1917773.86512822)"
1,A01,NOVA Alexandria,"Alexandria, VA",Alexandria,VA,Andrew Lee,38.839806,-77.115306,"Unmanaged: wild plants/weeds, forest, or grassland",1PHNCtP3JGvidkDd5bK1R91F895N_G6nM,9,22311,7b,61,68,Temperate or sub-polar broadleaf deciduous forest,"Developed, Open Space",TRUE,VA510,91C,1912981,25479343,H1,0,23,70.4000015258789,22.100000381469727,7.5,1.5,"c(1613243.65158, 1917773.86512822)"
56,H01,BP Boat Dock Composite (Enke BP Deck),"Harrisonburg, VA",Harrisonburg,VA,Ray Enke,38.08406,-78.87576,"Unmanaged: wild plants/weeds, forest, or grassland",10pFDy7sEzZklljwxl9hsthhSTiJLqZi3,0,22980,7a,8,0,Cropland,Pasture/Hay,TRUE,VA820,81,3025771,25473700,H1,0,23,67.5,21,11.5,4,"c(1479752.93142826, 1805928.34821187)"
56,H01,BP Boat Dock Composite (Enke BP Deck),"Harrisonburg, VA",Harrisonburg,VA,Ray Enke,38.08406,-78.87576,"Unmanaged: wild plants/weeds, forest, or grassland",10pFDy7sEzZklljwxl9hsthhSTiJLqZi3,0,22980,7a,8,0,Cropland,Pasture/Hay,TRUE,VA820,81,3025771,25473700,H3,76,152,81.80000305175781,9.199999809265137,9,0.5,"c(1479752.93142826, 1805928.34821187)"
56,H01,BP Boat Dock Composite (Enke BP Deck),"Harrisonburg, VA",Harrisonburg,VA,Ray Enke,38.08406,-78.87576,"Unmanaged: wild plants/weeds, forest, or grassland",10pFDy7sEzZklljwxl9hsthhSTiJLqZi3,0,22980,7a,8,0,Cropland,Pasture/Hay,TRUE,VA820,81,3025771,25473700,H2,23,76,45.29999923706055,43.20000076293945,11.5,0.5,"c(1479752.93142826, 1805928.34821187)"
57,H02,BP Grassland Composite,"Harrisonburg, VA",Harrisonburg,VA,Ray Enke,38.0856,-78.87687,"Unmanaged: wild plants/weeds, forest, or grassland",1ITltDaQTxt3eOcCWuqPz6rP9gu6gCdxD,0,22980,7a,3,0,Temperate or sub-polar broadleaf deciduous forest,Pasture/Hay,TRUE,VA820,300,3025769,25473767,NA,NA,NA,NA,NA,NA,NA,"c(1479627.12072596, 1806080.88001456)"
58,H03,BP Park Composite (Enke BP field),"Harrisonburg, VA",Harrisonburg,VA,Ray Enke,38.0845,-78.87622,"Unmanaged: wild plants/weeds, forest, or grassland",194C_HtrMu6rJqntFHYMB8h412-2enHuS,0,22980,7a,3,0,Cropland,Pasture/Hay,TRUE,VA820,81,3025771,25473700,H1,0,23,67.5,21,11.5,4,"c(1479704.77441033, 1805969.70418499)"
58,H03,BP Park Composite (Enke BP field),"Harrisonburg, VA",Harrisonburg,VA,Ray Enke,38.0845,-78.87622,"Unmanaged: wild plants/weeds, forest, or grassland",194C_HtrMu6rJqntFHYMB8h412-2enHuS,0,22980,7a,3,0,Cropland,Pasture/Hay,TRUE,VA820,81,3025771,25473700,H3,76,152,81.80000305175781,9.199999809265137,9,0.5,"c(1479704.77441033, 1805969.70418499)"
58,H03,BP Park Composite (Enke BP field),"Harrisonburg, VA",Harrisonburg,VA,Ray Enke,38.0845,-78.87622,"Unmanaged: wild plants/weeds, forest, or grassland",194C_HtrMu6rJqntFHYMB8h412-2enHuS,0,22980,7a,3,0,Cropland,Pasture/Hay,TRUE,VA820,81,3025771,25473700,H2,23,76,45.29999923706055,43.20000076293945,11.5,0.5,"c(1479704.77441033, 1805969.70418499)"
59,H04,RP Woods Composite,"Harrisonburg, VA",Harrisonburg,VA,Ray Enke,38.06631,-78.90991,"Unmanaged: wild plants/weeds, forest, or grassland",1iSHkJRdzSv2e0gVse4C5v5DweCCIEIUQ,6,22980,7a,77,82,Urban and built-up,"Developed, Open Space",TRUE,VA820,27,3025797,25473689,H3,68,152,83.5,9,7.5,0.25,"c(1477189.69810249, 1803439.7221015)"
59,H04,RP Woods Composite,"Harrisonburg, VA",Harrisonburg,VA,Ray Enke,38.06631,-78.90991,"Unmanaged: wild plants/weeds, forest, or grassland",1iSHkJRdzSv2e0gVse4C5v5DweCCIEIUQ,6,22980,7a,77,82,Urban and built-up,"Developed, Open Space",TRUE,VA820,27,3025797,25473689,H1,0,13,66.5999984741211,23.399999618530273,10,2,"c(1477189.69810249, 1803439.7221015)"
59,H04,RP Woods Composite,"Harrisonburg, VA",Harrisonburg,VA,Ray Enke,38.06631,-78.90991,"Unmanaged: wild plants/weeds, forest, or grassland",1iSHkJRdzSv2e0gVse4C5v5DweCCIEIUQ,6,22980,7a,77,82,Urban and built-up,"Developed, Open Space",TRUE,VA820,27,3025797,25473689,H2,13,68,66.5999984741211,23.399999618530273,10,0.25,"c(1477189.69810249, 1803439.7221015)"
60,H05,RP Bank Composite,"Harrisonburg, VA",Harrisonburg,VA,Ray Enke,38.06538,-78.90738,"Unmanaged: wild plants/weeds, forest, or grassland",12DpB2mP9Jcwjv6iAPzwRIGxVFtMwiUEe,32,22980,7a,68,63,Urban and built-up,"Developed, Low Intensity",TRUE,VA820,300,3025769,25473767,NA,NA,NA,NA,NA,NA,NA,"c(1477424.66404034, 1803376.49479975)"
107,P01,VSU Site 1,"Petersburg, VA",Petersburg,VA,Xianfa Xie,37.231667,-77.419,"Unmanaged: wild plants/weeds, forest, or grassland",1GZ_iV31EQuhueP6w1oY8uILDdCtljGry,10,23803,7b,80,77,"Water, generally with less than 25 percent cover of non-water cover types","Developed, Open Space",TRUE,VA653,1B,2481751,25468537,H1,0,25,63.5,19.5,17,1.75,"c(1622651.01442943, 1735854.08992418)"
107,P01,VSU Site 1,"Petersburg, VA",Petersburg,VA,Xianfa Xie,37.231667,-77.419,"Unmanaged: wild plants/weeds, forest, or grassland",1GZ_iV31EQuhueP6w1oY8uILDdCtljGry,10,23803,7b,80,77,"Water, generally with less than 25 percent cover of non-water cover types","Developed, Open Space",TRUE,VA653,1B,2481751,25468537,H2,25,124,35.20000076293945,36.79999923706055,28,0,"c(1622651.01442943, 1735854.08992418)"
107,P01,VSU Site 1,"Petersburg, VA",Petersburg,VA,Xianfa Xie,37.231667,-77.419,"Unmanaged: wild plants/weeds, forest, or grassland",1GZ_iV31EQuhueP6w1oY8uILDdCtljGry,10,23803,7b,80,77,"Water, generally with less than 25 percent cover of non-water cover types","Developed, Open Space",TRUE,VA653,1B,2481751,25468537,H3,124,183,67.9000015258789,19.600000381469727,12.5,0,"c(1622651.01442943, 1735854.08992418)"
108,P02,VSU Site 2,"Petersburg, VA",Petersburg,VA,Xianfa Xie,37.229556,-77.42225,"Unmanaged: wild plants/weeds, forest, or grassland",1irT1Io6cVhdQV3K3CL6sKWQp_rh9Fz68,22,23803,7b,79,71,Urban and built-up,"Developed, Low Intensity",TRUE,VA653,1B,2481751,25468537,H1,0,25,63.5,19.5,17,1.75,"c(1622416.77175674, 1735566.54999324)"
108,P02,VSU Site 2,"Petersburg, VA",Petersburg,VA,Xianfa Xie,37.229556,-77.42225,"Unmanaged: wild plants/weeds, forest, or grassland",1irT1Io6cVhdQV3K3CL6sKWQp_rh9Fz68,22,23803,7b,79,71,Urban and built-up,"Developed, Low Intensity",TRUE,VA653,1B,2481751,25468537,H2,25,124,35.20000076293945,36.79999923706055,28,0,"c(1622416.77175674, 1735566.54999324)"
108,P02,VSU Site 2,"Petersburg, VA",Petersburg,VA,Xianfa Xie,37.229556,-77.42225,"Unmanaged: wild plants/weeds, forest, or grassland",1irT1Io6cVhdQV3K3CL6sKWQp_rh9Fz68,22,23803,7b,79,71,Urban and built-up,"Developed, Low Intensity",TRUE,VA653,1B,2481751,25468537,H3,124,183,67.9000015258789,19.600000381469727,12.5,0,"c(1622416.77175674, 1735566.54999324)"
109,P03,VSU Site 3,"Petersburg, VA",Petersburg,VA,Xianfa Xie,37.235556,-77.413611,"Unmanaged: wild plants/weeds, forest, or grassland",1KqJ2laIlIIo_GHonYZV3k-V8rTPHVKi9,6,23834,7b,52,45,Temperate or sub-polar broadleaf deciduous forest,"Developed, Open Space",TRUE,VA653,2C,2481753,25468633,Ap,0,18,64,23,13,1.25,"c(1623030.92222995, 1736373.61034882)"
109,P03,VSU Site 3,"Petersburg, VA",Petersburg,VA,Xianfa Xie,37.235556,-77.413611,"Unmanaged: wild plants/weeds, forest, or grassland",1KqJ2laIlIIo_GHonYZV3k-V8rTPHVKi9,6,23834,7b,52,45,Temperate or sub-polar broadleaf deciduous forest,"Developed, Open Space",TRUE,VA653,2C,2481753,25468633,E,18,28,66,18,16,0.25,"c(1623030.92222995, 1736373.61034882)"
109,P03,VSU Site 3,"Petersburg, VA",Petersburg,VA,Xianfa Xie,37.235556,-77.413611,"Unmanaged: wild plants/weeds, forest, or grassland",1KqJ2laIlIIo_GHonYZV3k-V8rTPHVKi9,6,23834,7b,52,45,Temperate or sub-polar broadleaf deciduous forest,"Developed, Open Space",TRUE,VA653,2C,2481753,25468633,Bt1,28,41,53,16,31,0.25,"c(1623030.92222995, 1736373.61034882)"
109,P03,VSU Site 3,"Petersburg, VA",Petersburg,VA,Xianfa Xie,37.235556,-77.413611,"Unmanaged: wild plants/weeds, forest, or grassland",1KqJ2laIlIIo_GHonYZV3k-V8rTPHVKi9,6,23834,7b,52,45,Temperate or sub-polar broadleaf deciduous forest,"Developed, Open Space",TRUE,VA653,2C,2481753,25468633,Bt2,41,84,29,18,53,0.25,"c(1623030.92222995, 1736373.61034882)"
109,P03,VSU Site 3,"Petersburg, VA",Petersburg,VA,Xianfa Xie,37.235556,-77.413611,"Unmanaged: wild plants/weeds, forest, or grassland",1KqJ2laIlIIo_GHonYZV3k-V8rTPHVKi9,6,23834,7b,52,45,Temperate or sub-polar broadleaf deciduous forest,"Developed, Open Space",TRUE,VA653,2C,2481753,25468633,BC,84,109,58,16,26,0.25,"c(1623030.92222995, 1736373.61034882)"
109,P03,VSU Site 3,"Petersburg, VA",Petersburg,VA,Xianfa Xie,37.235556,-77.413611,"Unmanaged: wild plants/weeds, forest, or grassland",1KqJ2laIlIIo_GHonYZV3k-V8rTPHVKi9,6,23834,7b,52,45,Temperate or sub-polar broadleaf deciduous forest,"Developed, Open Space",TRUE,VA653,2C,2481753,25468633,C,109,183,62,23,15,0.25,"c(1623030.92222995, 1736373.61034882)"
110,P04,VSU Site 4,"Petersburg, VA",Petersburg,VA,Xianfa Xie,37.2348699,-77.4133845,"Unmanaged: wild plants/weeds, forest, or grassland",1UOQ7AqwBqSNFIEg_F4ape2AVElQysRHZ,0,23834,7b,86,88,Temperate or sub-polar broadleaf deciduous forest,Deciduous Forest,TRUE,VA653,2C,2481753,25468633,Ap,0,18,64,23,13,1.25,"c(1623065.38956464, 1736302.0601612)"
110,P04,VSU Site 4,"Petersburg, VA",Petersburg,VA,Xianfa Xie,37.2348699,-77.4133845,"Unmanaged: wild plants/weeds, forest, or grassland",1UOQ7AqwBqSNFIEg_F4ape2AVElQysRHZ,0,23834,7b,86,88,Temperate or sub-polar broadleaf deciduous forest,Deciduous Forest,TRUE,VA653,2C,2481753,25468633,E,18,28,66,18,16,0.25,"c(1623065.38956464, 1736302.0601612)"
110,P04,VSU Site 4,"Petersburg, VA",Petersburg,VA,Xianfa Xie,37.2348699,-77.4133845,"Unmanaged: wild plants/weeds, forest, or grassland",1UOQ7AqwBqSNFIEg_F4ape2AVElQysRHZ,0,23834,7b,86,88,Temperate or sub-polar broadleaf deciduous forest,Deciduous Forest,TRUE,VA653,2C,2481753,25468633,Bt1,28,41,53,16,31,0.25,"c(1623065.38956464, 1736302.0601612)"
110,P04,VSU Site 4,"Petersburg, VA",Petersburg,VA,Xianfa Xie,37.2348699,-77.4133845,"Unmanaged: wild plants/weeds, forest, or grassland",1UOQ7AqwBqSNFIEg_F4ape2AVElQysRHZ,0,23834,7b,86,88,Temperate or sub-polar broadleaf deciduous forest,Deciduous Forest,TRUE,VA653,2C,2481753,25468633,Bt2,41,84,29,18,53,0.25,"c(1623065.38956464, 1736302.0601612)"
110,P04,VSU Site 4,"Petersburg, VA",Petersburg,VA,Xianfa Xie,37.2348699,-77.4133845,"Unmanaged: wild plants/weeds, forest, or grassland",1UOQ7AqwBqSNFIEg_F4ape2AVElQysRHZ,0,23834,7b,86,88,Temperate or sub-polar broadleaf deciduous forest,Deciduous Forest,TRUE,VA653,2C,2481753,25468633,BC,84,109,58,16,26,0.25,"c(1623065.38956464, 1736302.0601612)"
110,P04,VSU Site 4,"Petersburg, VA",Petersburg,VA,Xianfa Xie,37.2348699,-77.4133845,"Unmanaged: wild plants/weeds, forest, or grassland",1UOQ7AqwBqSNFIEg_F4ape2AVElQysRHZ,0,23834,7b,86,88,Temperate or sub-polar broadleaf deciduous forest,Deciduous Forest,TRUE,VA653,2C,2481753,25468633,C,109,183,62,23,15,0.25,"c(1623065.38956464, 1736302.0601612)"
111,P05,VSU Site 5,"Petersburg, VA",Petersburg,VA,Xianfa Xie,37.235278,-77.416639,"Managed: mowed/tended lawns, yard, or park",1hPNDTXzMN9z4dw71L-nPp1IsCy_N1hJE,59,23806,7b,13,0,Urban and built-up,"Developed, Medium Intensity",TRUE,VA041,15,118832,25465168,NA,NA,NA,NA,NA,NA,NA,"c(1622775.93848104, 1736291.34166524)"
